Name,Position
[Carol Gilsenan](https:/bi.mpg.de/person/115792/1506857),Assistant to the Director
[Martha Übelacker](https:/bi.mpg.de/person/128162/1506857),"Assistant to the Director, Team Assistant"
[Bart Kempenaers](https:/bi.mpg.de/person/115680/1506857),Director
[Emmi Schlicht](https:/bi.mpg.de/person/115723/1506857),Doctoral Student
[Karle Lagrange](https://ornithology.bi.mpg.de/team),Intern
[Sylvia Kuhn](https:/bi.mpg.de/person/115687/1506857),"Lab Manager, Technical Assistant"
[Luke Eberhart-Hertel](https:/bi.mpg.de/person/115852/1506857),Postdoc
[Eunbi Kwon](https:/bi.mpg.de/person/115904/1506857),Postdoc
[Hanna Prueter](https:/bi.mpg.de/person/115921/1506857),Postdoc
[Peter Santema](https:/bi.mpg.de/person/115807/1506857),Postdoc
[Jinggang Zhang](https:/bi.mpg.de/person/126043/1506857),Postdoc
[Lotte Schlicht](https:/bi.mpg.de/person/115722/1506857),Postdoc
[Mark Gillingham](https:/bi.mpg.de/person/127952/1506857),Scientist
[Cristina-Maria Valcu](https:/bi.mpg.de/person/115772/1506857),Scientist
[Kaspar Delhey](https://kaspardelhey.wordpress.com/),Scientist
[Wolfgang Forstmeier](https:/bi.mpg.de/person/115654/1506857),Staff Scientist
[Jakob C. Mueller](https:/bi.mpg.de/person/115704/1506857),Staff Scientist
[Mihai Valcu](https:/bi.mpg.de/person/115610/1506857),Staff Scientist
[Christine Baumgartner](https:/bi.mpg.de/person/115673/1506857),Technical Assistant
[Katrin Martin](https:/bi.mpg.de/person/115698/1506857),Technical Assistant
[Melanie Schneider](https:/bi.mpg.de/person/115726/1506857),Technical Assistant
[Kim Teltscher](https:/bi.mpg.de/person/115736/1506857),Technical Assistant
[Agnes Türk](https:/bi.mpg.de/person/115609/1506857),Technical Assistant
[Andrea Wittenzellner](https:/bi.mpg.de/person/115622/1506857),Technical Assistant
[Peter Loës](https:/bi.mpg.de/person/115692/1506857),Technical Engineer
